"Form.ID","Billing.Year","Location.1","Num.Units","Dwelling.Type","Condo.Complex.Name","Lat","Lon"
438,2011,"1409 SAWYER RD
Raleigh, NC
(35.76303831600006, -78.62996669999995)",8,"Apartment Bldg",NA,35.7630383160001,-78.6299667
8984,2011,"5411 REUNION PT
Raleigh, NC
(35.859098689000064, -78.60055803999995)",180,"Apartment Bldg",NA,35.8590986890001,-78.60055804
5322,2011,"611 PEYTON ST
Raleigh, NC
(35.768803182000056, -78.60691645499998)",24,"Apartment Bldg",NA,35.768803182,-78.606916455
773,2011,"1721 POOLE RD
Raleigh, NC
(35.777326610000046, -78.61286107599994)",10,"Apartment Bldg",NA,35.77732661,-78.6128610759999
5294,2011,"3021 MEDLIN DR
Raleigh, NC
(35.809693054000036, -78.67583097299996)",9,"Apartment Bldg",NA,35.809693054,-78.675830973
3482,2011,"4801 FIVELEAF LA
Raleigh, NC
(35.875454088000026, -78.71717731199999)",318,"Apartment Bldg",NA,35.875454088,-78.717177312
5014,2011,"4940 PEBBLE BEACH DR
Raleigh, NC
(35.851285819000054, -78.57424695999998)",4,"Apartment Bldg",NA,35.851285819,-78.57424696
7671,2011,"1950 N RALEIGH BLVD
Raleigh, NC
(35.80203729400006, -78.60822659899998)",6,"Apartment Bldg",NA,35.8020372940001,-78.608226599
5322,2011,"511 PEYTON ST
Raleigh, NC
(35.770802391000075, -78.60706625099994)",16,"Apartment Bldg",NA,35.7708023910001,-78.6070662509999
7538,2011,"3708 LEXINGTON DR
Raleigh, NC
(35.785988313000075, -78.68792417099996)",4,"Apartment Bldg",NA,35.7859883130001,-78.687924171
585,2011,"515 BASHFORD RD
Raleigh, NC
(35.77930968700008, -78.73618864699995)",8,"Apartment Bldg",NA,35.7793096870001,-78.7361886469999
431,2011,"800 GIBNEY DR
Raleigh, NC
(35.789882043000034, -78.60507864699997)",50,"Apartment Bldg",NA,35.789882043,-78.605078647
4716,2011,"1002 MILLS ST
Raleigh, NC
(35.81031298200003, -78.62285020699994)",16,"Apartment Bldg",NA,35.810312982,-78.6228502069999
7271,2011,"564 DACIAN RD
Raleigh, NC
(35.76277905200004, -78.60190402899997)",8,"Apartment Bldg",NA,35.762779052,-78.601904029
7400,2011,"3803 BURT DR
Raleigh, NC
(35.77687376400007, -78.68811890599994)",7,"Apartment Bldg",NA,35.7768737640001,-78.6881189059999
6481,2011,"1527 CREST RD
Raleigh, NC
(35.77652692700008, -78.68460098999998)",53,"Apartment Bldg",NA,35.7765269270001,-78.68460099
7661,2011,"4312 BAYLINER DR
Raleigh, NC
(35.840839232000064, -78.59639842599995)",4,"Apartment Bldg",NA,35.8408392320001,-78.596398426
2505,2011,"900 GORMAN ST
Raleigh, NC
(35.78588115000008, -78.68707493899996)",5,"Apartment Bldg",NA,35.7858811500001,-78.687074939
8983,2011,"3901 LEXINGTON DR
Raleigh, NC
(35.78599292200005, -78.69090858099997)",8,"Apartment Bldg",NA,35.785992922,-78.690908581
8614,2011,"1448 SAWYER RD
Raleigh, NC
(35.76138363900003, -78.63016373999994)",8,"Apartment Bldg",NA,35.761383639,-78.6301637399999
658,2011,"3005 LEONARD ST
Raleigh, NC
(35.80445362900008, -78.67547146099997)",7,"Apartment Bldg",NA,35.8044536290001,-78.675471461
8878,2011,"1315 BAEZ ST
Raleigh, NC
(35.80123184900003, -78.66386452599994)",20,"Apartment Bldg",NA,35.801231849,-78.6638645259999
8353,2011,"600 CANDOR LA
Raleigh, NC
(35.77460261600004, -78.62879137199997)",7,"Apartment Bldg",NA,35.774602616,-78.628791372
2084,2011,"3939 GLENWOOD AV
Raleigh, NC
(35.832512843000075, -78.66749306199995)",254,"Apartment Bldg",NA,35.8325128430001,-78.6674930619999
7743,2011,"2200 FOX RIDGE MANOR RD
Raleigh, NC
(35.74980709300007, -78.60930231099996)",164,"Apartment Bldg",NA,35.7498070930001,-78.609302311
4424,2011,"1600 POOLE RD
Raleigh, NC
(35.77828415600004, -78.61570029899997)",8,"Apartment Bldg",NA,35.778284156,-78.615700299
713,2011,"610 WOODBURN RD
Raleigh, NC
(35.79213112700006, -78.65891778099996)",12,"Apartment Bldg",NA,35.7921311270001,-78.658917781
1118,2011,"1228 ANGELUS DR
Raleigh, NC
(35.76471027700006, -78.63086432699998)",4,"Apartment Bldg",NA,35.7647102770001,-78.630864327
1568,2011,"4201 LAKE RIDGE DR
Raleigh, NC
(35.83828001400008, -78.58373484899994)",5,"Apartment Bldg",NA,35.8382800140001,-78.5837348489999
4344,2011,"1315 FILMORE ST
Raleigh, NC
(35.79619292000007, -78.64466981599998)",8,"Apartment Bldg",NA,35.7961929200001,-78.644669816
6482,2011,"2932 LIGON ST
Raleigh, NC
(35.78905799100005, -78.68922970599994)",24,"Apartment Bldg",NA,35.789057991,-78.6892297059999
4728,2011,"10 ENTERPRISE ST
Raleigh, NC
(35.787568091000026, -78.66395670899999)",8,"Apartment Bldg",NA,35.787568091,-78.663956709
